Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G61590,AT5G15630,"COBL4,IRX6",6.0,3.0,-180.442112291,157,176
AT4G37260,AT5G15630,"COBL4,IRX6",6.0,3.0,-149.59221495,59,72
AT5G47230,AT5G15630,"COBL4,IRX6",3.0,3.0,-165.017163621,105,135
AT3G15210,AT5G15630,"COBL4,IRX6",1.0,3.0,-195.173913981,178,192
AT1G21910,AT5G15630,"COBL4,IRX6",6.0,3.0,-180.442112291,157,176
AT5G47220,AT5G15630,"COBL4,IRX6",3.0,3.0,-119.43546459,12,19
AT5G13910,AT5G15630,"COBL4,IRX6",2.0,3.0,-150.285361931,72,92
AT1G28370,AT5G15630,"COBL4,IRX6",3.0,3.0,-165.017163621,105,135
AT3G18400,AT5G15630,"COBL4,IRX6",6.0,3.0,-119.029999548,10,12
AT3G25730,AT5G15630,"COBL4,IRX6",3.0,3.0,-134.86041326,29,42
AT1G75490,AT5G15630,"COBL4,IRX6",6.0,3.0,-195.173913981,178,192
AT2G44940,AT5G15630,"COBL4,IRX6",6.0,3.0,-149.59221495,59,72
