Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G61590,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT4G37260,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT5G47230,AT5G15630,"COBL4,IRX6",3.0,3.0,-1034.76812757,40.0,41.0
AT3G15210,AT5G15630,"COBL4,IRX6",1.0,3.0,-838.046275505,7.0,8.0
AT1G21910,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT5G47220,AT5G15630,"COBL4,IRX6",3.0,3.0,-991.22973041,30.0,31.0
AT5G13910,AT5G15630,"COBL4,IRX6",2.0,3.0,-998.542953453,32.0,33.0
AT1G28370,AT5G15630,"COBL4,IRX6",3.0,3.0,-965.642015189,24.0,25.0
AT3G18400,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT3G25730,AT5G15630,"COBL4,IRX6",3.0,3.0,-1028.44815555,37.0,38.0
AT1G75490,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT2G44940,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
