Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G61590,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT4G37260,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT5G47230,AT5G15630,"COBL4,IRX6",3.0,3.0,-373.607842595,43.0,44.0
AT3G15210,AT5G15630,"COBL4,IRX6",1.0,3.0,-206.63458207,7.0,8.0
AT1G21910,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT5G47220,AT5G15630,"COBL4,IRX6",3.0,3.0,-333.611959173,33.0,34.0
AT5G13910,AT5G15630,"COBL4,IRX6",2.0,3.0,-268.965409851,12.0,13.0
AT1G28370,AT5G15630,"COBL4,IRX6",3.0,3.0,-330.200705769,31.0,32.0
AT3G18400,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT3G25730,AT5G15630,"COBL4,IRX6",3.0,3.0,-361.89809102,40.0,41.0
AT1G75490,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
AT2G44940,AT5G15630,"COBL4,IRX6",6.0,3.0,,,
