Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G61590,AT5G15630,"COBL4,IRX6",6.0,3.0,-45.119444729,154,172
AT4G37260,AT5G15630,"COBL4,IRX6",6.0,3.0,-31.4092935756,70,154
AT5G47230,AT5G15630,"COBL4,IRX6",3.0,3.0,-31.4092935756,70,154
AT3G15210,AT5G15630,"COBL4,IRX6",1.0,3.0,-31.4092935756,70,154
AT1G21910,AT5G15630,"COBL4,IRX6",6.0,3.0,-31.4092935756,70,154
AT5G47220,AT5G15630,"COBL4,IRX6",3.0,3.0,-31.4092935756,70,154
AT5G13910,AT5G15630,"COBL4,IRX6",2.0,3.0,-31.4092935756,70,154
AT1G28370,AT5G15630,"COBL4,IRX6",3.0,3.0,-31.4092935756,70,154
AT3G18400,AT5G15630,"COBL4,IRX6",6.0,3.0,-3.29584464377,0,43
AT3G25730,AT5G15630,"COBL4,IRX6",3.0,3.0,-31.4092935756,70,154
AT1G75490,AT5G15630,"COBL4,IRX6",6.0,3.0,-31.4092935756,70,154
AT2G44940,AT5G15630,"COBL4,IRX6",6.0,3.0,-3.29584464377,0,43
