Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT4G37260,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",6.0,6.0,-28.9765038992,85,167
AT1G21910,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",6.0,6.0,-15.3841356425,7,60
AT1G75490,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",6.0,6.0,-28.9765038992,85,167
AT3G15210,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",1.0,6.0,-17.6867154855,84,85
AT3G16770,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",4.0,6.0,-15.6718168816,60,77
AT5G13330,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",6.0,6.0,-15.3841356425,7,60
AT5G47220,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",3.0,6.0,-15.3841356425,7,60
AT5G53950,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",6.0,6.0,-15.6718168816,60,77
AT1G44830,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",4.0,6.0,-15.3841356425,7,60
AT1G06180,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",4.0,6.0,-28.9765038992,85,167
AT2G44940,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",6.0,6.0,-28.9765038992,85,167
AT5G61420,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",6.0,6.0,-28.9765038992,85,167
AT5G12870,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",5.0,6.0,-28.9765038992,85,167
AT5G39610,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",3.0,6.0,-15.3841356425,7,60
AT1G56650,AT5G17420,"ATCESA7,CESA7,IRX3,MUR10",5.0,6.0,-28.9765038992,85,167
