Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G61590,AT5G15630,"COBL4,IRX6",6.0,3.0,-39.5428836111,130,135
AT4G37260,AT5G15630,"COBL4,IRX6",6.0,3.0,-36.4495737116,40,46
AT5G47230,AT5G15630,"COBL4,IRX6",3.0,3.0,-40.2360301667,154,168
AT3G15210,AT5G15630,"COBL4,IRX6",1.0,3.0,-38.5132644409,93,101
AT1G21910,AT5G15630,"COBL4,IRX6",6.0,3.0,-40.459173593,176,182
AT5G47220,AT5G15630,"COBL4,IRX6",3.0,3.0,-33.7639979604,17,21
AT5G13910,AT5G15630,"COBL4,IRX6",2.0,3.0,-37.2139823912,46,56
AT1G28370,AT5G15630,"COBL4,IRX6",3.0,3.0,-38.1948111233,71,88
AT3G18400,AT5G15630,"COBL4,IRX6",6.0,3.0,-37.4146529162,56,64
AT3G25730,AT5G15630,"COBL4,IRX6",3.0,3.0,-37.2139823912,46,56
AT1G75490,AT5G15630,"COBL4,IRX6",6.0,3.0,-39.2934225787,121,128
AT2G44940,AT5G15630,"COBL4,IRX6",6.0,3.0,-18.7853362801,2,5
